Fold,Class,Precision,Recall
1,0,0.5,0.964516129032258
1,0,0.5119825708061002,0.7580645161290323
1,0,0.4966887417218543,0.967741935483871
1,0,0.5017064846416383,0.9483870967741935
1,0,0.48665620094191525,1.0
1,0,0.5064695009242144,0.8838709677419355
1,0,0.4942528735632184,0.9709677419354839
1,0,0.4881516587677725,0.9967741935483871
1,0,0.5238095238095238,0.567741935483871
1,0,0.49201277955271566,0.9935483870967742
1,0,0.4927302100161551,0.9838709677419355
1,0,0.5147783251231527,0.6741935483870968
